Sample	SV1	SV2	SV3	SV4	SV5	SV6	e.1	e.2	e.3	e.5	e.6	e.8	e.13	e.17	e.18	e.20	e.26	hrd	isQuiescentGenomeControl	isUsedForEvaluation	del.mh.prop	del.rep.prop	del.none.prop
PD10010a	10	12	1	8	20	57	544	102	530	820	0	273	161	0	0	0	0	11.0	True	True	0.16	0.54	0.3
PD10011a	107	11	9	0	15	1	814	0	1482	3734	0	905	434	903	0	0	0	14.0	False	False	0.182926829268293	0.530487804878049	0.286585365853659
PD10014a	46	52	62	0	56	6	399	0	3467	3410	0	4324	525	0	0	0	0	24.0	False	True	0.302325581395349	0.47568710359408	0.221987315010571
PD11326a	26	79	182	4	57	11	389	250	3446	1547	0	3105	891	0	0	0	0	31.0	False	False	0.378446115288221	0.421052631578947	0.200501253132832
PD11327a	11	67	52	20	49	76	265	0	5400	938	0	5244	868	0	0	0	0	4.0	False	True	0.191836734693878	0.579591836734694	0.228571428571429
PD11336a	8	1	1	13	2	50	1335	633	1542	1158	0	0	0	422	495	0	0	1.0	True	True	0.166666666666667	0.588888888888889	0.244444444444444
PD11337a	5	29	2	26	5	11	747	265	0	768	0	792	299	0	202	0	0	8.0	True	True	0.191304347826087	0.617391304347826	0.191304347826087
PD11338a	0	1	0	0	0	0	754	60	0	1144	0	342	0	0	0	0	0	3.0	True	True	0.17741935483871	0.564516129032258	0.258064516129032
PD11339a	1	17	0	23	4	17	1114	68	0	1277	0	0	70	0	0	0	0	4.0	True	True	0.151898734177215	0.518987341772152	0.329113924050633
PD11340a	8	71	8	99	109	54	979	520	0	2211	0	694	267	0	393	0	0	18.0	True	True	0.271698113207547	0.592452830188679	0.135849056603774
PD11341a	0	31	1	0	7	1	518	266	0	385	0	391	92	0	0	0	0	12.0	True	True	0.116279069767442	0.581395348837209	0.302325581395349
PD11342a	3	4	0	5	0	5	701	853	0	1422	0	0	329	0	0	0	0	5.0	True	True	0.142857142857143	0.591836734693878	0.26530612244898
PD11343a	3	40	1	50	9	19	793	157	0	1094	0	757	143	0	0	0	0	12.0	True	True	0.1875	0.5625	0.25
PD11344a	2	20	1	70	3	68	452	4740	0	0	0	0	5836	0	0	0	0	8.0	True	True	0.214285714285714	0.542857142857143	0.242857142857143
PD11345a	26	123	5	65	21	210	794	4121	0	1522	0	996	2258	0	660	0	0	8.0	True	True	0.193548387096774	0.576036866359447	0.230414746543779
PD11346a	11	56	5	153	6	240	610	474	0	957	0	0	251	0	0	0	0	2.0	True	True	0.234042553191489	0.425531914893617	0.340425531914894
PD11347a	0	17	1	41	10	77	517	386	0	994	0	0	134	0	0	0	0	12.0	True	True	0.329411764705882	0.517647058823529	0.152941176470588
PD11348a	7	14	3	41	6	59	1744	176	0	1487	0	997	172	0	434	0	0	6.0	True	True	0.142857142857143	0.603896103896104	0.253246753246753
PD11349a	12	120	9	86	57	167	1069	1106	0	2741	0	1594	939	0	0	0	0	9.0	True	True	0.304195804195804	0.465034965034965	0.230769230769231
PD11352a	1	1	0	0	0	0	835	473	0	1278	0	0	0	0	0	0	0	2.0	False	True	0.182608695652174	0.573913043478261	0.243478260869565
PD11355a	0	36	0	0	5	2	430	66	0	679	0	382	0	0	281	0	0	6.0	True	True	0.163461538461538	0.586538461538462	0.25
PD11357a	0	7	0	1	2	8	1256	94	0	1530	0	499	0	0	0	0	0	1.0	True	True	0.162055335968379	0.660079051383399	0.177865612648221
PD11358a	0	0	0	0	0	0	929	1630	0	1768	0	0	0	0	0	0	0	1.0	False	False	0.141304347826087	0.614130434782609	0.244565217391304
PD11359a	0	1	0	0	0	0	797	158	0	1155	0	474	82	0	0	0	0	1.0	True	True	0.254901960784314	0.503267973856209	0.241830065359477
PD11360a	4	15	2	35	6	25	1055	146	0	1284	0	631	0	0	0	0	0	8.0	True	True	0.151515151515152	0.659090909090909	0.189393939393939
PD11361a	0	5	0	0	0	0	766	113	0	467	0	377	0	0	0	0	0	3.0	True	True	0.151515151515152	0.636363636363636	0.212121212121212
PD11364a	3	9	0	8	2	1	738	85	0	1012	0	384	120	0	0	0	0	8.0	True	True	0.228070175438596	0.517543859649123	0.254385964912281
PD11365a	15	6	0	0	6	1	0	0	0	1131	0	0	0	0	0	0	12521	6.0	False	True	0.0835579514824798	0.797843665768194	0.118598382749326
PD11366a	1	29	0	0	1	1	823	228	0	1763	0	0	0	0	191	0	0	4.0	True	True	0.141025641025641	0.66025641025641	0.198717948717949
PD11367a	3	42	1	40	4	14	1136	167	2518	2135	0	1972	236	0	0	0	0	5.0	True	True	0.142307692307692	0.565384615384615	0.292307692307692
PD11368a	37	53	1	59	22	161	1416	1798	0	1740	0	1395	479	0	0	0	0	13.0	True	True	0.203947368421053	0.585526315789474	0.210526315789474
PD11369a	2	38	3	89	17	159	1868	887	0	1651	0	1182	546	0	0	0	0	7.0	True	True	0.1484375	0.53125	0.3203125
PD11370a	0	3	0	0	0	0	302	0	0	828	0	122	27	0	0	0	0		False	False	0.166666666666667	0.513888888888889	0.319444444444444
PD11372a	0	5	0	36	6	10	2011	0	0	0	0	0	11782	0	0	0	0	6.0	False	False	0.167785234899329	0.570469798657718	0.261744966442953
PD11374a	5	24	1	17	7	15	720	72	0	1212	0	288	91	0	0	0	0	19.0	True	True	0.130434782608696	0.521739130434783	0.347826086956522
PD11375a	0	5	0	0	1	0	811	68	0	565	0	490	0	0	0	0	0	2.0	True	True	0.242424242424242	0.5	0.257575757575758
PD11376a	0	8	3	9	2	42	1124	196	0	1528	0	0	0	0	304	0	0	5.0	True	True	0.24031007751938	0.62015503875969	0.13953488372093
PD11379a	39	32	1	9	19	15	0	6710	0	1660	0	2118	8894	0	0	0	0	22.0	False	True	0.233050847457627	0.525423728813559	0.241525423728814
